disease,resistance_gene_count,susceptibility_gene_count,evidence_strength_score,temperature,humidity,soil_moisture,light,risk_level,risk_score
Late Blight,1,0,-1.0,37.4,70.7,65.3,658.1,low,16.0
Fusarium Wilt,1,0,-1.0,37.4,70.7,65.3,658.1,low,28.0
Bacterial Spot,0,0,0.0,37.4,70.7,65.3,658.1,low,34.0
Early Blight,1,0,-0.6,29.9,49.3,46.1,700.3,moderate,40.0
Late Blight,0,0,0.0,29.9,49.3,46.1,700.3,low,34.0
Fusarium Wilt,1,0,-1.0,29.9,49.3,46.1,700.3,moderate,44.0
Bacterial Spot,2,0,-1.6,29.9,49.3,46.1,700.3,low,28.0
Early Blight,0,0,0.0,35.6,57.3,41.2,315.6,low,34.0
Late Blight,1,0,-0.6,35.6,57.3,41.2,315.6,low,28.0
Fusarium Wilt,1,0,-1.0,35.6,57.3,41.2,315.6,low,28.0
Bacterial Spot,0,0,0.0,35.6,57.3,41.2,315.6,low,34.0
Early Blight,0,0,0.0,16.5,72.7,87.9,644.4,moderate,46.0
Late Blight,2,0,-1.6,16.5,72.7,87.9,644.4,low,28.0
Fusarium Wilt,0,0,0.0,16.5,72.7,87.9,644.4,moderate,46.0
Bacterial Spot,0,0,0.0,16.5,72.7,87.9,644.4,low,34.0
Early Blight,1,0,-0.6,18.5,86.7,35.6,734.5,moderate,40.0
Late Blight,0,0,0.0,18.5,86.7,35.6,734.5,moderate,62.0
Fusarium Wilt,0,0,0.0,18.5,86.7,35.6,734.5,moderate,46.0
Bacterial Spot,1,0,-1.0,18.5,86.7,35.6,734.5,low,28.0
Early Blight,0,0,0.0,30.7,83.9,39.5,865.1,moderate,46.0
Late Blight,0,0,0.0,30.7,83.9,39.5,865.1,moderate,46.0
Fusarium Wilt,1,0,-1.0,30.7,83.9,39.5,865.1,moderate,44.0
Bacterial Spot,1,0,-0.6,30.7,83.9,39.5,865.1,low,28.0
Early Blight,0,0,0.0,25.5,32.6,63.8,284.7,moderate,46.0
Late Blight,1,0,-1.0,25.5,32.6,63.8,284.7,low,16.0
Fusarium Wilt,1,0,-1.0,25.5,32.6,63.8,284.7,low,28.0
Bacterial Spot,1,0,-1.0,25.5,32.6,63.8,284.7,low,28.0
Early Blight,0,0,0.0,25.6,56.8,21.2,1009.1,moderate,46.0
Late Blight,2,0,-1.6,25.6,56.8,21.2,1009.1,low,16.0
Fusarium Wilt,0,0,0.0,25.6,56.8,21.2,1009.1,moderate,62.0
Bacterial Spot,0,0,0.0,25.6,56.8,21.2,1009.1,moderate,46.0
Early Blight,0,0,0.0,33.2,86.5,27.8,1134.7,moderate,46.0
Late Blight,0,0,0.0,33.2,86.5,27.8,1134.7,moderate,46.0
Fusarium Wilt,2,0,-2.0,33.2,86.5,27.8,1134.7,moderate,44.0
Bacterial Spot,1,0,-1.0,33.2,86.5,27.8,1134.7,low,28.0
Early Blight,0,0,0.0,36.1,42.7,70.9,894.7,low,34.0
Late Blight,1,0,-1.0,36.1,42.7,70.9,894.7,low,16.0
Fusarium Wilt,1,0,-1.0,36.1,42.7,70.9,894.7,low,28.0
Bacterial Spot,1,0,-1.0,36.1,42.7,70.9,894.7,low,16.0
Early Blight,0,0,0.0,20.1,77.2,37.5,768.7,moderate,62.0
Late Blight,1,0,-1.0,20.1,77.2,37.5,768.7,moderate,44.0
Fusarium Wilt,1,0,-1.0,20.1,77.2,37.5,768.7,low,28.0
Bacterial Spot,1,0,-0.6,20.1,77.2,37.5,768.7,low,28.0
Early Blight,0,0,0.0,15.6,73.9,51.5,1151.9,moderate,46.0
Late Blight,1,0,-0.6,15.6,73.9,51.5,1151.9,moderate,40.0
Fusarium Wilt,2,0,-2.0,15.6,73.9,51.5,1151.9,low,28.0
Bacterial Spot,0,0,0.0,15.6,73.9,51.5,1151.9,low,34.0
Early Blight,0,0,0.0,20.2,43.2,60.3,232.0,moderate,46.0
Late Blight,0,0,0.0,20.2,43.2,60.3,232.0,moderate,46.0
Fusarium Wilt,1,0,-1.0,20.2,43.2,60.3,232.0,low,28.0
Bacterial Spot,2,0,-1.6,20.2,43.2,60.3,232.0,low,16.0
Early Blight,1,0,-0.6,16.1,65.5,66.4,740.2,low,28.0
Late Blight,1,0,-1.0,16.1,65.5,66.4,740.2,low,28.0
Fusarium Wilt,2,0,-2.0,16.1,65.5,66.4,740.2,low,28.0
Bacterial Spot,2,0,-1.6,16.1,65.5,66.4,740.2,low,16.0
Early Blight,1,0,-0.6,22.5,52.3,18.6,901.8,moderate,40.0
Late Blight,0,0,0.0,22.5,52.3,18.6,901.8,moderate,46.0
Fusarium Wilt,1,0,-1.0,22.5,52.3,18.6,901.8,low,28.0
Bacterial Spot,1,0,-0.6,22.5,52.3,18.6,901.8,low,28.0
Early Blight,1,0,-0.6,24.8,87.9,13.7,1155.8,moderate,56.0
Late Blight,0,0,0.0,24.8,87.9,13.7,1155.8,moderate,46.0
Fusarium Wilt,1,0,-1.0,24.8,87.9,13.7,1155.8,low,28.0
Bacterial Spot,0,0,0.0,24.8,87.9,13.7,1155.8,moderate,62.0
Early Blight,0,0,0.0,15.8,54.1,46.5,777.3,low,34.0
Late Blight,1,0,-1.0,15.8,54.1,46.5,777.3,low,28.0
Fusarium Wilt,2,0,-2.0,15.8,54.1,46.5,777.3,low,28.0
Bacterial Spot,1,0,-0.6,15.8,54.1,46.5,777.3,low,28.0
Early Blight,0,0,0.0,26.0,48.5,20.4,1029.2,moderate,46.0
Late Blight,1,0,-0.6,26.0,48.5,20.4,1029.2,low,28.0
Fusarium Wilt,2,0,-2.0,26.0,48.5,20.4,1029.2,moderate,44.0
Bacterial Spot,1,0,-1.0,26.0,48.5,20.4,1029.2,low,28.0
Early Blight,0,0,0.0,33.6,59.1,14.7,456.9,low,34.0
Late Blight,0,0,0.0,33.6,59.1,14.7,456.9,low,34.0
Fusarium Wilt,2,0,-2.0,33.6,59.1,14.7,456.9,moderate,44.0
Bacterial Spot,2,0,-1.6,33.6,59.1,14.7,456.9,low,16.0
Early Blight,0,0,0.0,26.3,53.0,37.0,914.9,moderate,46.0
Late Blight,1,0,-0.6,26.3,53.0,37.0,914.9,low,28.0
Fusarium Wilt,0,0,0.0,26.3,53.0,37.0,914.9,moderate,62.0
Bacterial Spot,1,0,-0.6,26.3,53.0,37.0,914.9,moderate,40.0
Early Blight,0,0,0.0,31.4,71.7,24.2,241.8,moderate,46.0
Late Blight,0,0,0.0,31.4,71.7,24.2,241.8,low,34.0
Fusarium Wilt,1,0,-1.0,31.4,71.7,24.2,241.8,moderate,44.0
Bacterial Spot,2,0,-1.6,31.4,71.7,24.2,241.8,low,16.0
Early Blight,1,0,-0.6,34.6,90.0,13.4,981.8,moderate,40.0
Late Blight,1,0,-1.0,34.6,90.0,13.4,981.8,low,28.0
Fusarium Wilt,1,0,-1.0,34.6,90.0,13.4,981.8,moderate,44.0
Bacterial Spot,1,0,-1.0,34.6,90.0,13.4,981.8,low,28.0
Early Blight,1,0,-0.6,35.3,86.2,73.9,1055.3,moderate,40.0
Late Blight,2,0,-1.6,35.3,86.2,73.9,1055.3,low,28.0
Fusarium Wilt,2,0,-2.0,35.3,86.2,73.9,1055.3,low,28.0
Bacterial Spot,0,0,0.0,35.3,86.2,73.9,1055.3,moderate,46.0
Early Blight,0,0,0.0,19.2,36.8,34.3,1036.2,low,34.0
Late Blight,1,0,-1.0,19.2,36.8,34.3,1036.2,low,28.0
Fusarium Wilt,1,0,-1.0,19.2,36.8,34.3,1036.2,low,16.0
Bacterial Spot,1,0,-1.0,19.2,36.8,34.3,1036.2,low,16.0
Early Blight,1,0,-0.6,37.8,45.1,45.9,801.1,low,28.0
Late Blight,0,0,0.0,37.8,45.1,45.9,801.1,low,34.0
Fusarium Wilt,2,0,-2.0,37.8,45.1,45.9,801.1,low,28.0
Bacterial Spot,1,0,-1.0,37.8,45.1,45.9,801.1,low,16.0
Early Blight,0,0,0.0,32.0,41.4,39.5,330.1,low,34.0
Late Blight,0,0,0.0,32.0,41.4,39.5,330.1,low,34.0
Fusarium Wilt,1,0,-1.0,32.0,41.4,39.5,330.1,moderate,44.0
Bacterial Spot,0,0,0.0,32.0,41.4,39.5,330.1,low,34.0
Early Blight,0,0,0.0,19.4,34.3,26.0,257.5,low,34.0
Late Blight,2,0,-1.6,19.4,34.3,26.0,257.5,low,28.0
Fusarium Wilt,2,0,-2.0,19.4,34.3,26.0,257.5,low,16.0
Bacterial Spot,2,0,-1.6,19.4,34.3,26.0,257.5,low,16.0
Early Blight,1,0,-0.6,20.6,47.8,22.8,889.3,moderate,40.0
Late Blight,2,0,-1.6,20.6,47.8,22.8,889.3,low,28.0
Fusarium Wilt,1,0,-1.0,20.6,47.8,22.8,889.3,low,28.0
Bacterial Spot,2,0,-1.6,20.6,47.8,22.8,889.3,low,16.0
Early Blight,0,0,0.0,33.1,91.2,48.4,452.9,moderate,46.0
Late Blight,1,0,-1.0,33.1,91.2,48.4,452.9,low,28.0
Fusarium Wilt,2,0,-2.0,33.1,91.2,48.4,452.9,moderate,44.0
Bacterial Spot,0,0,0.0,33.1,91.2,48.4,452.9,moderate,46.0
Early Blight,0,0,0.0,22.5,72.1,50.9,953.1,moderate,62.0
Late Blight,1,0,-1.0,22.5,72.1,50.9,953.1,low,28.0
Fusarium Wilt,0,0,0.0,22.5,72.1,50.9,953.1,moderate,46.0
Bacterial Spot,1,0,-1.0,22.5,72.1,50.9,953.1,low,16.0
Early Blight,1,0,-0.6,19.2,59.9,19.7,615.6,low,28.0
Late Blight,1,0,-0.6,19.2,59.9,19.7,615.6,moderate,40.0
Fusarium Wilt,0,0,0.0,19.2,59.9,19.7,615.6,moderate,46.0
Bacterial Spot,0,0,0.0,19.2,59.9,19.7,615.6,low,34.0
Early Blight,1,0,-0.6,37.2,95.1,84.1,458.4,moderate,40.0
Late Blight,0,0,0.0,37.2,95.1,84.1,458.4,moderate,46.0
Fusarium Wilt,0,0,0.0,37.2,95.1,84.1,458.4,moderate,46.0
Bacterial Spot,0,0,0.0,37.2,95.1,84.1,458.4,moderate,46.0
Early Blight,0,0,0.0,31.9,84.4,62.6,743.7,moderate,46.0
Late Blight,1,0,-1.0,31.9,84.4,62.6,743.7,low,28.0
Fusarium Wilt,2,0,-2.0,31.9,84.4,62.6,743.7,moderate,44.0
Bacterial Spot,0,0,0.0,31.9,84.4,62.6,743.7,low,34.0
Early Blight,0,0,0.0,20.6,69.3,81.6,323.5,moderate,46.0
Late Blight,2,0,-1.6,20.6,69.3,81.6,323.5,low,28.0
Fusarium Wilt,1,0,-1.0,20.6,69.3,81.6,323.5,low,28.0
Bacterial Spot,0,0,0.0,20.6,69.3,81.6,323.5,low,34.0
Early Blight,0,0,0.0,20.0,85.0,33.2,1136.1,moderate,62.0
Late Blight,2,0,-1.6,20.0,85.0,33.2,1136.1,moderate,44.0
Fusarium Wilt,0,0,0.0,20.0,85.0,33.2,1136.1,moderate,46.0
Bacterial Spot,0,0,0.0,20.0,85.0,33.2,1136.1,moderate,46.0
Early Blight,1,0,-0.6,19.2,60.4,76.0,1046.7,low,28.0
Late Blight,2,0,-1.6,19.2,60.4,76.0,1046.7,low,28.0
Fusarium Wilt,2,0,-2.0,19.2,60.4,76.0,1046.7,low,28.0
Bacterial Spot,1,0,-1.0,19.2,60.4,76.0,1046.7,low,16.0
Early Blight,1,0,-0.6,25.8,65.8,49.8,223.8,moderate,40.0
Late Blight,1,0,-0.6,25.8,65.8,49.8,223.8,low,28.0
Fusarium Wilt,0,0,0.0,25.8,65.8,49.8,223.8,moderate,62.0
Bacterial Spot,1,0,-0.6,25.8,65.8,49.8,223.8,moderate,40.0
Early Blight,0,0,0.0,18.4,85.2,70.2,208.4,moderate,46.0
Late Blight,1,0,-1.0,18.4,85.2,70.2,208.4,moderate,44.0
Fusarium Wilt,0,0,0.0,18.4,85.2,70.2,208.4,moderate,46.0
Bacterial Spot,1,0,-1.0,18.4,85.2,70.2,208.4,low,28.0
Early Blight,0,0,0.0,21.1,67.7,58.5,1133.7,moderate,46.0
Late Blight,0,0,0.0,21.1,67.7,58.5,1133.7,moderate,46.0
Fusarium Wilt,1,0,-1.0,21.1,67.7,58.5,1133.7,low,28.0
Bacterial Spot,1,0,-1.0,21.1,67.7,58.5,1133.7,low,16.0
Early Blight,0,0,0.0,31.2,55.3,51.1,303.1,low,34.0
Late Blight,2,0,-1.6,31.2,55.3,51.1,303.1,low,16.0
Fusarium Wilt,0,0,0.0,31.2,55.3,51.1,303.1,moderate,62.0
Bacterial Spot,0,0,0.0,31.2,55.3,51.1,303.1,low,34.0
Early Blight,0,0,0.0,19.6,48.9,34.2,1114.8,low,34.0
Late Blight,0,0,0.0,19.6,48.9,34.2,1114.8,moderate,46.0
Fusarium Wilt,1,0,-1.0,19.6,48.9,34.2,1114.8,low,28.0
Bacterial Spot,1,0,-1.0,19.6,48.9,34.2,1114.8,low,16.0
Early Blight,0,0,0.0,18.7,44.3,68.2,1088.4,low,34.0
Late Blight,2,0,-1.6,18.7,44.3,68.2,1088.4,low,28.0
Fusarium Wilt,0,0,0.0,18.7,44.3,68.2,1088.4,moderate,46.0
Bacterial Spot,0,0,0.0,18.7,44.3,68.2,1088.4,low,34.0
Early Blight,0,0,0.0,23.0,31.6,34.2,625.8,moderate,46.0
Late Blight,1,0,-0.6,23.0,31.6,34.2,625.8,moderate,40.0
Fusarium Wilt,1,0,-1.0,23.0,31.6,34.2,625.8,low,16.0
Bacterial Spot,2,0,-1.6,23.0,31.6,34.2,625.8,low,16.0
Early Blight,0,0,0.0,25.8,44.3,57.5,202.2,moderate,46.0
Late Blight,2,0,-1.6,25.8,44.3,57.5,202.2,low,16.0
Fusarium Wilt,2,0,-2.0,25.8,44.3,57.5,202.2,moderate,44.0
Bacterial Spot,2,0,-1.6,25.8,44.3,57.5,202.2,low,28.0
Early Blight,0,0,0.0,30.8,77.6,46.8,613.2,moderate,46.0
Late Blight,1,0,-1.0,30.8,77.6,46.8,613.2,low,28.0
Fusarium Wilt,1,0,-1.0,30.8,77.6,46.8,613.2,moderate,44.0
Bacterial Spot,2,0,-1.6,30.8,77.6,46.8,613.2,low,16.0
Early Blight,1,0,-0.6,18.0,42.3,19.7,893.8,low,28.0
Late Blight,0,0,0.0,18.0,42.3,19.7,893.8,moderate,46.0
Fusarium Wilt,0,0,0.0,18.0,42.3,19.7,893.8,moderate,46.0
Bacterial Spot,1,0,-0.6,18.0,42.3,19.7,893.8,low,28.0
Early Blight,1,0,-0.6,29.3,79.6,13.0,729.1,moderate,56.0
Late Blight,1,0,-1.0,29.3,79.6,13.0,729.1,low,28.0
Fusarium Wilt,1,0,-1.0,29.3,79.6,13.0,729.1,moderate,44.0
Bacterial Spot,0,0,0.0,29.3,79.6,13.0,729.1,moderate,46.0
Early Blight,1,0,-0.6,32.9,37.0,71.1,410.2,low,28.0
Late Blight,1,0,-1.0,32.9,37.0,71.1,410.2,low,16.0
Fusarium Wilt,0,0,0.0,32.9,37.0,71.1,410.2,moderate,46.0
Bacterial Spot,2,0,-1.6,32.9,37.0,71.1,410.2,low,16.0
Early Blight,1,0,-0.6,15.2,75.2,88.6,265.1,moderate,40.0
Late Blight,1,0,-1.0,15.2,75.2,88.6,265.1,moderate,44.0
Fusarium Wilt,0,0,0.0,15.2,75.2,88.6,265.1,moderate,46.0
Bacterial Spot,1,0,-1.0,15.2,75.2,88.6,265.1,low,16.0
Early Blight,0,0,0.0,31.6,87.1,15.3,916.3,moderate,46.0
Late Blight,1,0,-0.6,31.6,87.1,15.3,916.3,moderate,40.0
Fusarium Wilt,0,0,0.0,31.6,87.1,15.3,916.3,moderate,62.0
Bacterial Spot,1,0,-1.0,31.6,87.1,15.3,916.3,low,28.0
Early Blight,1,0,-0.6,26.4,31.2,17.8,1165.8,moderate,40.0
Late Blight,2,0,-1.6,26.4,31.2,17.8,1165.8,low,16.0
Fusarium Wilt,2,0,-2.0,26.4,31.2,17.8,1165.8,low,28.0
Bacterial Spot,2,0,-1.6,26.4,31.2,17.8,1165.8,low,28.0
Early Blight,0,0,0.0,36.3,44.4,12.2,1135.7,low,34.0
Late Blight,1,0,-0.6,36.3,44.4,12.2,1135.7,low,28.0
Fusarium Wilt,0,0,0.0,36.3,44.4,12.2,1135.7,moderate,46.0
Bacterial Spot,2,0,-1.6,36.3,44.4,12.2,1135.7,low,16.0
Early Blight,0,0,0.0,18.7,45.7,49.6,166.3,low,34.0
Late Blight,1,0,-1.0,18.7,45.7,49.6,166.3,low,28.0
Fusarium Wilt,1,0,-1.0,18.7,45.7,49.6,166.3,low,28.0
Bacterial Spot,1,0,-0.6,18.7,45.7,49.6,166.3,low,28.0
Early Blight,0,0,0.0,20.2,38.6,32.5,815.1,moderate,46.0
Late Blight,2,0,-1.6,20.2,38.6,32.5,815.1,low,28.0
Fusarium Wilt,0,0,0.0,20.2,38.6,32.5,815.1,low,34.0
Bacterial Spot,0,0,0.0,20.2,38.6,32.5,815.1,low,34.0
Early Blight,1,0,-0.6,20.1,78.3,32.8,374.7,moderate,56.0
Late Blight,0,0,0.0,20.1,78.3,32.8,374.7,moderate,62.0
Fusarium Wilt,2,0,-2.0,20.1,78.3,32.8,374.7,low,28.0
Bacterial Spot,0,0,0.0,20.1,78.3,32.8,374.7,low,34.0
Early Blight,1,0,-0.6,23.5,90.7,34.7,171.4,moderate,56.0
Late Blight,0,0,0.0,23.5,90.7,34.7,171.4,moderate,62.0
Fusarium Wilt,2,0,-2.0,23.5,90.7,34.7,171.4,low,28.0
Bacterial Spot,2,0,-1.6,23.5,90.7,34.7,171.4,low,28.0
Early Blight,1,0,-0.6,26.0,37.2,76.9,376.2,moderate,40.0
Late Blight,1,0,-1.0,26.0,37.2,76.9,376.2,low,16.0
Fusarium Wilt,0,0,0.0,26.0,37.2,76.9,376.2,moderate,46.0
Bacterial Spot,1,0,-0.6,26.0,37.2,76.9,376.2,moderate,40.0
Early Blight,1,0,-0.6,15.6,92.0,73.4,709.2,moderate,40.0
Late Blight,1,0,-1.0,15.6,92.0,73.4,709.2,moderate,44.0
Fusarium Wilt,2,0,-2.0,15.6,92.0,73.4,709.2,low,28.0
Bacterial Spot,0,0,0.0,15.6,92.0,73.4,709.2,moderate,46.0
Early Blight,1,0,-0.6,26.9,85.2,63.6,592.5,moderate,56.0
Late Blight,1,0,-1.0,26.9,85.2,63.6,592.5,low,28.0
Fusarium Wilt,0,0,0.0,26.9,85.2,63.6,592.5,moderate,62.0
Bacterial Spot,2,0,-1.6,26.9,85.2,63.6,592.5,moderate,44.0
Early Blight,1,0,-0.6,16.0,60.8,29.7,608.1,low,28.0
Late Blight,2,0,-1.6,16.0,60.8,29.7,608.1,low,28.0
Fusarium Wilt,1,0,-1.0,16.0,60.8,29.7,608.1,low,28.0
Bacterial Spot,1,0,-0.6,16.0,60.8,29.7,608.1,low,28.0
Early Blight,1,0,-0.6,21.9,84.5,24.0,874.5,moderate,56.0
Late Blight,1,0,-0.6,21.9,84.5,24.0,874.5,moderate,56.0
Fusarium Wilt,0,0,0.0,21.9,84.5,24.0,874.5,moderate,46.0
Bacterial Spot,2,0,-1.6,21.9,84.5,24.0,874.5,low,16.0
Early Blight,1,0,-0.6,24.9,47.3,12.4,232.5,moderate,40.0
Late Blight,1,0,-1.0,24.9,47.3,12.4,232.5,low,16.0
Fusarium Wilt,1,0,-1.0,24.9,47.3,12.4,232.5,low,28.0
Bacterial Spot,1,0,-1.0,24.9,47.3,12.4,232.5,low,28.0
Early Blight,1,0,-0.6,36.1,59.9,30.3,581.2,low,28.0
Late Blight,1,0,-0.6,36.1,59.9,30.3,581.2,low,28.0
Fusarium Wilt,0,0,0.0,36.1,59.9,30.3,581.2,moderate,46.0
Bacterial Spot,0,0,0.0,36.1,59.9,30.3,581.2,low,34.0
Early Blight,1,0,-0.6,25.9,32.2,88.4,543.3,moderate,40.0
Late Blight,2,0,-1.6,25.9,32.2,88.4,543.3,low,16.0
Fusarium Wilt,0,0,0.0,25.9,32.2,88.4,543.3,moderate,46.0
Bacterial Spot,1,0,-0.6,25.9,32.2,88.4,543.3,moderate,40.0
Early Blight,1,0,-0.6,28.5,75.3,19.9,377.5,moderate,56.0
Late Blight,0,0,0.0,28.5,75.3,19.9,377.5,moderate,46.0
Fusarium Wilt,0,0,0.0,28.5,75.3,19.9,377.5,moderate,62.0
Bacterial Spot,1,0,-1.0,28.5,75.3,19.9,377.5,low,28.0
Early Blight,1,0,-0.6,32.4,88.3,60.5,396.5,moderate,40.0
Late Blight,1,0,-1.0,32.4,88.3,60.5,396.5,low,28.0
Fusarium Wilt,1,0,-1.0,32.4,88.3,60.5,396.5,moderate,44.0
Bacterial Spot,1,0,-1.0,32.4,88.3,60.5,396.5,low,28.0
Early Blight,0,0,0.0,26.5,84.9,33.8,1013.1,moderate,62.0
Late Blight,1,0,-0.6,26.5,84.9,33.8,1013.1,moderate,40.0
Fusarium Wilt,0,0,0.0,26.5,84.9,33.8,1013.1,moderate,62.0
Bacterial Spot,0,0,0.0,26.5,84.9,33.8,1013.1,moderate,46.0
Early Blight,1,0,-0.6,19.6,70.1,64.8,995.0,moderate,40.0
Late Blight,1,0,-0.6,19.6,70.1,64.8,995.0,moderate,40.0
Fusarium Wilt,2,0,-2.0,19.6,70.1,64.8,995.0,low,28.0
Bacterial Spot,2,0,-1.6,19.6,70.1,64.8,995.0,low,16.0
Early Blight,1,0,-0.6,21.6,33.3,48.4,392.8,moderate,40.0
Late Blight,2,0,-1.6,21.6,33.3,48.4,392.8,low,28.0
Fusarium Wilt,1,0,-1.0,21.6,33.3,48.4,392.8,low,16.0
Bacterial Spot,0,0,0.0,21.6,33.3,48.4,392.8,low,34.0
Early Blight,1,0,-0.6,28.7,69.6,83.0,1195.2,moderate,40.0
Late Blight,1,0,-1.0,28.7,69.6,83.0,1195.2,low,16.0
Fusarium Wilt,1,0,-1.0,28.7,69.6,83.0,1195.2,moderate,44.0
Bacterial Spot,1,0,-1.0,28.7,69.6,83.0,1195.2,low,28.0
Early Blight,0,0,0.0,30.2,31.8,47.4,667.1,low,34.0
Late Blight,1,0,-0.6,30.2,31.8,47.4,667.1,low,28.0
Fusarium Wilt,2,0,-2.0,30.2,31.8,47.4,667.1,low,28.0
Bacterial Spot,1,0,-1.0,30.2,31.8,47.4,667.1,low,16.0
Early Blight,0,0,0.0,15.6,84.6,60.2,204.6,moderate,46.0
Late Blight,0,0,0.0,15.6,84.6,60.2,204.6,moderate,62.0
Fusarium Wilt,1,0,-1.0,15.6,84.6,60.2,204.6,low,28.0
Bacterial Spot,0,0,0.0,15.6,84.6,60.2,204.6,low,34.0
Early Blight,1,0,-0.6,28.1,70.5,80.8,958.0,moderate,56.0
Late Blight,2,0,-1.6,28.1,70.5,80.8,958.0,low,16.0
Fusarium Wilt,0,0,0.0,28.1,70.5,80.8,958.0,moderate,62.0
Bacterial Spot,0,0,0.0,28.1,70.5,80.8,958.0,moderate,46.0
Early Blight,0,0,0.0,29.4,95.6,84.2,659.0,moderate,62.0
Late Blight,0,0,0.0,29.4,95.6,84.2,659.0,moderate,46.0
Fusarium Wilt,0,0,0.0,29.4,95.6,84.2,659.0,moderate,62.0
Bacterial Spot,2,0,-1.6,29.4,95.6,84.2,659.0,moderate,44.0
Early Blight,0,0,0.0,32.4,60.7,80.4,491.7,low,34.0
Late Blight,0,0,0.0,32.4,60.7,80.4,491.7,low,34.0
Fusarium Wilt,1,0,-1.0,32.4,60.7,80.4,491.7,moderate,44.0
Bacterial Spot,2,0,-1.6,32.4,60.7,80.4,491.7,low,16.0
Early Blight,1,0,-0.6,19.0,85.2,30.8,151.5,moderate,40.0
Late Blight,2,0,-1.6,19.0,85.2,30.8,151.5,moderate,44.0
Fusarium Wilt,0,0,0.0,19.0,85.2,30.8,151.5,moderate,46.0
Bacterial Spot,2,0,-1.6,19.0,85.2,30.8,151.5,low,28.0
Early Blight,1,0,-0.6,28.7,36.2,61.8,192.4,moderate,40.0
Late Blight,0,0,0.0,28.7,36.2,61.8,192.4,low,34.0
Fusarium Wilt,0,0,0.0,28.7,36.2,61.8,192.4,moderate,46.0
Bacterial Spot,1,0,-0.6,28.7,36.2,61.8,192.4,moderate,40.0
Early Blight,0,0,0.0,35.8,40.2,68.1,531.3,low,34.0
Late Blight,0,0,0.0,35.8,40.2,68.1,531.3,low,34.0
Fusarium Wilt,1,0,-1.0,35.8,40.2,68.1,531.3,low,28.0
Bacterial Spot,2,0,-1.6,35.8,40.2,68.1,531.3,low,16.0
Early Blight,1,0,-0.6,31.4,47.6,73.2,969.1,low,28.0
Late Blight,2,0,-1.6,31.4,47.6,73.2,969.1,low,16.0
Fusarium Wilt,0,0,0.0,31.4,47.6,73.2,969.1,moderate,62.0
Bacterial Spot,2,0,-1.6,31.4,47.6,73.2,969.1,low,16.0
Early Blight,1,0,-0.6,35.6,77.0,54.7,466.6,moderate,40.0
Late Blight,1,0,-1.0,35.6,77.0,54.7,466.6,low,28.0
Fusarium Wilt,0,0,0.0,35.6,77.0,54.7,466.6,moderate,46.0
Bacterial Spot,0,0,0.0,35.6,77.0,54.7,466.6,low,34.0
Early Blight,0,0,0.0,19.2,73.5,80.8,1118.8,moderate,46.0
Late Blight,1,0,-1.0,19.2,73.5,80.8,1118.8,low,28.0
Fusarium Wilt,2,0,-2.0,19.2,73.5,80.8,1118.8,low,28.0
Bacterial Spot,1,0,-1.0,19.2,73.5,80.8,1118.8,low,16.0
Early Blight,1,0,-0.6,15.6,60.8,35.0,171.2,low,28.0
Late Blight,1,0,-0.6,15.6,60.8,35.0,171.2,moderate,40.0
Fusarium Wilt,1,0,-1.0,15.6,60.8,35.0,171.2,low,28.0
Bacterial Spot,1,0,-1.0,15.6,60.8,35.0,171.2,low,16.0
Early Blight,0,0,0.0,34.0,57.7,53.4,237.6,low,34.0
Late Blight,0,0,0.0,34.0,57.7,53.4,237.6,low,34.0
Fusarium Wilt,1,0,-1.0,34.0,57.7,53.4,237.6,moderate,44.0
Bacterial Spot,0,0,0.0,34.0,57.7,53.4,237.6,low,34.0
Early Blight,1,0,-0.6,29.1,89.9,21.0,384.4,moderate,56.0
Late Blight,0,0,0.0,29.1,89.9,21.0,384.4,moderate,46.0
Fusarium Wilt,1,0,-1.0,29.1,89.9,21.0,384.4,moderate,44.0
Bacterial Spot,1,0,-1.0,29.1,89.9,21.0,384.4,moderate,44.0
Early Blight,0,0,0.0,16.5,50.4,27.2,1012.7,low,34.0
Late Blight,0,0,0.0,16.5,50.4,27.2,1012.7,moderate,46.0
Fusarium Wilt,1,0,-1.0,16.5,50.4,27.2,1012.7,low,28.0
Bacterial Spot,0,0,0.0,16.5,50.4,27.2,1012.7,low,34.0
Early Blight,1,0,-0.6,38.0,89.4,67.2,218.8,moderate,40.0
Late Blight,0,0,0.0,38.0,89.4,67.2,218.8,moderate,46.0
Fusarium Wilt,1,0,-1.0,38.0,89.4,67.2,218.8,low,28.0
Bacterial Spot,2,0,-1.6,38.0,89.4,67.2,218.8,low,28.0
Early Blight,1,0,-0.6,27.8,36.4,36.6,1013.1,moderate,40.0
Late Blight,1,0,-1.0,27.8,36.4,36.6,1013.1,low,16.0
Fusarium Wilt,2,0,-2.0,27.8,36.4,36.6,1013.1,low,28.0
Bacterial Spot,2,0,-1.6,27.8,36.4,36.6,1013.1,low,28.0
Early Blight,1,0,-0.6,17.2,51.6,12.5,312.6,low,28.0
Late Blight,1,0,-1.0,17.2,51.6,12.5,312.6,low,28.0
Fusarium Wilt,2,0,-2.0,17.2,51.6,12.5,312.6,low,28.0
Bacterial Spot,1,0,-0.6,17.2,51.6,12.5,312.6,low,28.0
Early Blight,1,0,-0.6,36.0,80.8,71.8,239.5,moderate,40.0
Late Blight,0,0,0.0,36.0,80.8,71.8,239.5,moderate,46.0
